sequence,case,engine,allocator,input_label,scope,owner_tag,observed_samples,denominator_samples,share_pct,overlap_note
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,librime_table_query_access,0,2971,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,librime_syllabifier_prism,0,2971,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,librime_script_translation,0,2971,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,allocator_leaf,287,2971,9.66,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,system_compare_copy_leaf,1265,2971,42.578,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,allocator_leaf_under_primary_owner,216,2971,7.27,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_marisa_lookup,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_sentence_model,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_abbreviation_sentence,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_sentence_word_graph,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_leading_single_syllable_prefix,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,yune_filter_sort_hash,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,librime_dictionary_table_query,2685,3872,69.344,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,librime_table_query_access,633,3872,16.348,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,librime_syllabifier_prism,530,3872,13.688,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,librime_script_translation,3799,3872,98.115,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,allocator_leaf,1521,3872,39.282,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,system_compare_copy_leaf,242,3872,6.25,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,whole_process,allocator_leaf_under_primary_owner,1114,3872,28.771,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_marisa_lookup,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_sentence_model,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_abbreviation_sentence,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_sentence_word_graph,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_leading_single_syllable_prefix,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,yune_filter_sort_hash,0,3780,0.0,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,librime_dictionary_table_query,2685,3780,71.032,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,librime_table_query_access,633,3780,16.746,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,librime_syllabifier_prism,482,3780,12.751,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,librime_script_translation,3731,3780,98.704,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,allocator_leaf,1503,3780,39.762,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,system_compare_copy_leaf,233,3780,6.164,inclusive stack tags may overlap; do not sum shares
6,06-librime-default-ceshiyixiachangjushuruxingnengzenyang,librime,default,37-char,RimeProcessKey,allocator_leaf_under_primary_owner,1114,3780,29.471,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_marisa_lookup,2879,3875,74.297,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_sentence_model,1580,3875,40.774,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_abbreviation_sentence,82,3875,2.116,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_sentence_word_graph,61,3875,1.574,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_leading_single_syllable_prefix,438,3875,11.303,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,yune_filter_sort_hash,176,3875,4.542,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,librime_dictionary_table_query,0,3875,0.0,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,librime_table_query_access,0,3875,0.0,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,librime_syllabifier_prism,0,3875,0.0,inclusive stack tags may overlap; do not sum shares
