engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,19,13,13,37508600,39,36104900,26660,46,45,800,5600,52600,700,2200,45,0,0,1,375100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,0,11,11,21894200,33,19081300,20712,100,90,800,5800,103100,0,4000,90,0,0,1,347500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,1,11,11,21892100,33,18799900,20712,100,90,800,6000,110400,600,3400,90,0,0,1,362400,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,2,11,11,22963200,33,19996800,20712,100,90,1000,6100,97600,400,5700,90,0,0,1,361600,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,3,11,11,22179500,33,19649000,20712,100,90,700,5700,103300,200,4200,90,0,0,1,357000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,4,11,11,21707700,33,19264100,20712,100,90,600,4700,109100,0,2900,90,0,0,1,381000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,5,11,11,20609400,33,18228200,20712,100,90,900,5200,104300,500,3100,90,0,0,1,356400,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,6,11,11,21712800,33,19310900,20712,100,90,1000,5000,101000,200,3200,90,0,0,1,360400,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,7,11,11,20792400,33,18383100,20712,100,90,600,4900,99100,400,3600,90,0,0,1,353700,0,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,8,11,11,20350000,33,18096500,20712,100,90,300,2500,85800,200,2800,90,0,0,1,347200,0,1,400
