path,git_blob_sha1,byte_size,packet,removal_class,retained_summary_pointer,recovery_commit
docs/reports/evidence/m37-engine-hyper-optimization/phase-0-baseline/track-b-yune-product/m37_metrics.csv,43e2d27d5ece007ab8e401ca6541a59158b3679d,15285,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-0-baseline/track-b-yune-product/samples.csv,0f3f370dd2a825ea5cf062a8ca1fc856549daed1,15612,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/m37_metrics.csv,7b8a0872ccc103ad5c24be797aa230bffc292387,33547,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/samples.csv,7b5fcf10c2fd03ef130caab18e5f225fc05e3d67,46829,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-a-librime-1.17.0/m37_metrics.csv,3741bb4fbd13949f623731cb091086ce578138dc,490,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-a-librime-1.17.0/samples.csv,1561860e1e330093497fdbc4356d585d6b0412e6,12387,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-a-yune/m37_metrics.csv,1f30798d60f22fd6121ab90e68889a8f0b9c8832,10983,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-a-yune/samples.csv,e99a8fec15aeb2a3d8c7e8f6654e95d826d832fc,12019,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-b-yune-product/m37_metrics.csv,c89b7b4ba6ad1a65a512614b381cafd03c7f2fe4,15437,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-active/track-b-yune-product/samples.csv,b3394c2aab8a4b8d923b76349cdb5c02376eadad,15652,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/m37_metrics.csv,2fbdc6cb1b77b19ce932d2f82f7931ed71578c56,33552,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/samples.csv,492fe08c0ff516cf7cb4e3bcf6dd61e5cdcb79a6,46825,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-a-librime-1.17.0/m37_metrics.csv,3741bb4fbd13949f623731cb091086ce578138dc,490,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-a-librime-1.17.0/samples.csv,646f89f4a63a33de125ea8ce05959d74a8de1533,12384,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-a-yune/m37_metrics.csv,a54b7a242a4811bedd34ab8c59a290bda68a7b4f,10978,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-a-yune/samples.csv,d6ab3f0715d731881d7c91ea8a965a342ab7e0b8,12020,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-b-yune-product/m37_metrics.csv,f925cee5915a6c74c7608fdb2776496b103b30ab,15447,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-combined/track-b-yune-product/samples.csv,6730ac05409944c01beeee226b18c0e75b9d60dc,15650,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-final/m37_metrics.csv,59c9df0f23191040b894a75f8085a5f3db8ebdf5,33366,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m37-engine-hyper-optimization/phase-1-page-bounded-final/samples.csv,cd5bc65c7517b98c29b16816239f394d84ca9a87,46797,m37-engine-hyper-optimization,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
